driver,team,lap_number,lap_time,sector1_time,sector2_time,sector3_time,stint,compound,tyre_life,track_status,event_name,session_name,year,lap_time_seconds,sector1_time_seconds,sector2_time_seconds,sector3_time_seconds,driver_median_lap_time_seconds,lap_delta_to_driver_median,is_first_lap_of_stint
ALB,Williams,1.0,0 days 00:02:05.203000,0 days 00:01:01.956000,0 days 00:00:21.378000,0 days 00:00:41.869000,1.0,MEDIUM,1.0,1,Australian Grand Prix,FP3,2026,125.203,61.956,21.378,41.869,92.35849999999999,32.84450000000001,True
ALB,Williams,2.0,0 days 00:01:23.460000,0 days 00:00:29.737000,0 days 00:00:18.226000,0 days 00:00:35.497000,1.0,MEDIUM,2.0,1,Australian Grand Prix,FP3,2026,83.46,29.737,18.226,35.497,92.35849999999999,-8.898499999999999,False
ALB,Williams,3.0,0 days 00:01:50.644000,0 days 00:00:40.677000,0 days 00:00:22.397000,0 days 00:00:47.570000,1.0,MEDIUM,3.0,1,Australian Grand Prix,FP3,2026,110.644,40.677,22.397,47.57,92.35849999999999,18.285500000000013,False
ALB,Williams,4.0,0 days 00:01:22.589000,0 days 00:00:28.999000,0 days 00:00:18.064000,0 days 00:00:35.526000,1.0,MEDIUM,4.0,1,Australian Grand Prix,FP3,2026,82.589,28.999,18.064,35.526,92.35849999999999,-9.769499999999994,False
ALB,Williams,5.0,0 days 00:01:47.841000,0 days 00:00:42.654000,0 days 00:00:23.241000,0 days 00:00:41.946000,1.0,MEDIUM,5.0,1,Australian Grand Prix,FP3,2026,107.841,42.654,23.241,41.946,92.35849999999999,15.482500000000002,False
ALB,Williams,6.0,0 days 00:01:21.942000,0 days 00:00:28.897000,0 days 00:00:17.896000,0 days 00:00:35.149000,1.0,MEDIUM,6.0,1,Australian Grand Prix,FP3,2026,81.942,28.897,17.896,35.149,92.35849999999999,-10.4165,False
ALB,Williams,7.0,,0 days 00:01:25.150000,0 days 00:00:23.527000,0 days 00:00:45.036000,1.0,MEDIUM,7.0,12,Australian Grand Prix,FP3,2026,,85.15,23.527,45.036,92.35849999999999,,False
ALB,Williams,8.0,0 days 00:01:21.949000,0 days 00:00:28.875000,0 days 00:00:17.800000,0 days 00:00:35.274000,1.0,MEDIUM,8.0,1,Australian Grand Prix,FP3,2026,81.949,28.875,17.8,35.274,92.35849999999999,-10.409499999999994,False
ALB,Williams,9.0,0 days 00:01:50.045000,0 days 00:00:42.194000,0 days 00:00:28.068000,0 days 00:00:39.783000,1.0,MEDIUM,9.0,1,Australian Grand Prix,FP3,2026,110.045,42.194,28.068,39.783,92.35849999999999,17.68650000000001,False
ALB,Williams,10.0,0 days 00:01:41.257000,0 days 00:00:35.726000,0 days 00:00:21.870000,0 days 00:00:43.661000,1.0,MEDIUM,10.0,1,Australian Grand Prix,FP3,2026,101.257,35.726,21.87,43.661,92.35849999999999,8.898500000000013,False
ALB,Williams,11.0,0 days 00:01:22.309000,0 days 00:00:28.901000,0 days 00:00:18.002000,0 days 00:00:35.406000,1.0,MEDIUM,11.0,1,Australian Grand Prix,FP3,2026,82.309,28.901,18.002,35.406,92.35849999999999,-10.049499999999995,False
ALB,Williams,12.0,,0 days 00:00:33.607000,0 days 00:00:23.042000,,1.0,MEDIUM,12.0,125,Australian Grand Prix,FP3,2026,,33.607,23.042,,92.35849999999999,,False
ALB,Williams,13.0,,,0 days 00:00:20.718000,0 days 00:00:41.785000,2.0,SOFT,1.0,1,Australian Grand Prix,FP3,2026,,,20.718,41.785,92.35849999999999,,True
ALB,Williams,14.0,0 days 00:01:42.551000,0 days 00:00:33.776000,0 days 00:00:21.619000,0 days 00:00:47.156000,2.0,SOFT,2.0,1,Australian Grand Prix,FP3,2026,102.551,33.776,21.619,47.156,92.35849999999999,10.19250000000001,False
ALB,Williams,15.0,0 days 00:01:21.664000,0 days 00:00:28.869000,0 days 00:00:17.800000,0 days 00:00:34.995000,2.0,SOFT,3.0,1,Australian Grand Prix,FP3,2026,81.664,28.869,17.8,34.995,92.35849999999999,-10.69449999999999,False
ALB,Williams,16.0,,0 days 00:00:42.420000,0 days 00:00:26.958000,0 days 00:01:29.376000,2.0,SOFT,4.0,1,Australian Grand Prix,FP3,2026,,42.42,26.958,89.376,92.35849999999999,,False
ALB,Williams,17.0,,0 days 00:00:36.263000,0 days 00:00:21.918000,,2.0,SOFT,5.0,1,Australian Grand Prix,FP3,2026,,36.263,21.918,,92.35849999999999,,False
ALO,Aston Martin,1.0,0 days 00:01:43.389000,0 days 00:00:40.330000,0 days 00:00:21.553000,0 days 00:00:41.506000,1.0,MEDIUM,1.0,1,Australian Grand Prix,FP3,2026,103.389,40.33,21.553,41.506,93.6645,9.724499999999992,True
ALO,Aston Martin,2.0,0 days 00:01:26.040000,0 days 00:00:30.566000,0 days 00:00:18.763000,0 days 00:00:36.711000,1.0,MEDIUM,2.0,1,Australian Grand Prix,FP3,2026,86.04,30.566,18.763,36.711,93.6645,-7.624499999999998,False
ALO,Aston Martin,3.0,0 days 00:01:41.774000,0 days 00:00:38.174000,0 days 00:00:21.138000,0 days 00:00:42.462000,1.0,MEDIUM,3.0,1,Australian Grand Prix,FP3,2026,101.774,38.174,21.138,42.462,93.6645,8.109499999999997,False
ALO,Aston Martin,4.0,0 days 00:01:24.101000,0 days 00:00:29.731000,0 days 00:00:18.233000,0 days 00:00:36.137000,1.0,MEDIUM,4.0,1,Australian Grand Prix,FP3,2026,84.101,29.731,18.233,36.137,93.6645,-9.563500000000005,False
ALO,Aston Martin,5.0,,0 days 00:00:33.766000,0 days 00:00:20.937000,,1.0,MEDIUM,5.0,126,Australian Grand Prix,FP3,2026,,33.766,20.937,,93.6645,,False
ALO,Aston Martin,6.0,,,,,2.0,MEDIUM,6.0,6512,Australian Grand Prix,FP3,2026,,,,,93.6645,,True
ALO,Aston Martin,7.0,0 days 00:02:02.162000,0 days 00:00:53.721000,0 days 00:00:21.026000,0 days 00:00:47.415000,3.0,SOFT,1.0,1,Australian Grand Prix,FP3,2026,122.162,53.721,21.026,47.415,93.6645,28.497500000000002,True
ALO,Aston Martin,8.0,0 days 00:01:23.717000,0 days 00:00:29.507000,0 days 00:00:18.317000,0 days 00:00:35.893000,3.0,SOFT,2.0,1,Australian Grand Prix,FP3,2026,83.717,29.507,18.317,35.893,93.6645,-9.947500000000005,False
ALO,Aston Martin,9.0,0 days 00:01:43.393000,0 days 00:00:35.049000,0 days 00:00:20.831000,0 days 00:00:47.513000,3.0,SOFT,3.0,1,Australian Grand Prix,FP3,2026,103.393,35.049,20.831,47.513,93.6645,9.728499999999997,False
ALO,Aston Martin,10.0,0 days 00:01:22.972000,0 days 00:00:29.272000,0 days 00:00:18.176000,0 days 00:00:35.524000,3.0,SOFT,4.0,1,Australian Grand Prix,FP3,2026,82.972,29.272,18.176,35.524,93.6645,-10.69250000000001,False
ALO,Aston Martin,11.0,,0 days 00:00:33.927000,0 days 00:00:20.438000,,3.0,SOFT,5.0,12,Australian Grand Prix,FP3,2026,,33.927,20.438,,93.6645,,False
ALO,Aston Martin,12.0,0 days 00:01:47.836000,0 days 00:00:47.016000,0 days 00:00:21.058000,0 days 00:00:39.762000,4.0,SOFT,6.0,1,Australian Grand Prix,FP3,2026,107.836,47.016,21.058,39.762,93.6645,14.171499999999995,True
ALO,Aston Martin,13.0,0 days 00:01:23.054000,0 days 00:00:29.285000,0 days 00:00:18.185000,0 days 00:00:35.584000,4.0,SOFT,7.0,1,Australian Grand Prix,FP3,2026,83.054,29.285,18.185,35.584,93.6645,-10.610500000000002,False
ALO,Aston Martin,14.0,0 days 00:01:41.289000,0 days 00:00:37.197000,0 days 00:00:20.895000,0 days 00:00:43.197000,4.0,SOFT,8.0,1,Australian Grand Prix,FP3,2026,101.289,37.197,20.895,43.197,93.6645,7.624499999999998,False
ALO,Aston Martin,15.0,0 days 00:01:22.837000,0 days 00:00:29.259000,0 days 00:00:18.248000,0 days 00:00:35.330000,4.0,SOFT,9.0,1,Australian Grand Prix,FP3,2026,82.837,29.259,18.248,35.33,93.6645,-10.8275,False
ALO,Aston Martin,16.0,,0 days 00:00:32.769000,0 days 00:00:20.226000,,4.0,SOFT,10.0,125,Australian Grand Prix,FP3,2026,,32.769,20.226,,93.6645,,False
ALO,Aston Martin,17.0,0 days 00:01:57.097000,0 days 00:00:49.660000,0 days 00:00:20.876000,0 days 00:00:46.561000,5.0,SOFT,1.0,1,Australian Grand Prix,FP3,2026,117.097,49.66,20.876,46.561,93.6645,23.43249999999999,True
ALO,Aston Martin,18.0,0 days 00:01:22.720000,0 days 00:00:29.185000,0 days 00:00:18.179000,0 days 00:00:35.356000,5.0,SOFT,2.0,1,Australian Grand Prix,FP3,2026,82.72,29.185,18.179,35.356,93.6645,-10.944500000000005,False
ALO,Aston Martin,19.0,,0 days 00:00:41.113000,0 days 00:00:27.524000,,5.0,SOFT,3.0,1,Australian Grand Prix,FP3,2026,,41.113,27.524,,93.6645,,False
ALO,Aston Martin,20.0,,0 days 00:00:35.003000,0 days 00:00:21.071000,,5.0,SOFT,4.0,1,Australian Grand Prix,FP3,2026,,35.003,21.071,,93.6645,,False
ANT,Mercedes,1.0,0 days 00:02:13.092000,0 days 00:01:08.620000,0 days 00:00:19.972000,0 days 00:00:44.500000,1.0,SOFT,1.0,12,Australian Grand Prix,FP3,2026,133.092,68.62,19.972,44.5,82.126,50.96600000000001,True
ANT,Mercedes,2.0,0 days 00:01:47.429000,0 days 00:00:28.340000,0 days 00:00:17.523000,0 days 00:01:01.566000,1.0,SOFT,2.0,26,Australian Grand Prix,FP3,2026,107.429,28.34,17.523,61.566,82.126,25.302999999999997,False
ANT,Mercedes,3.0,0 days 00:01:55.667000,0 days 00:00:39.549000,0 days 00:00:23.798000,0 days 00:00:52.320000,1.0,SOFT,3.0,6,Australian Grand Prix,FP3,2026,115.667,39.549,23.798000000000002,52.32,82.126,33.541,False
ANT,Mercedes,4.0,,,,,1.0,SOFT,4.0,6512,Australian Grand Prix,FP3,2026,,,,,82.126,,False
ANT,Mercedes,5.0,0 days 00:02:06.752000,0 days 00:00:57.818000,0 days 00:00:20.180000,0 days 00:00:48.754000,2.0,SOFT,5.0,1,Australian Grand Prix,FP3,2026,126.752,57.818,20.18,48.754,82.126,44.62599999999999,True
ANT,Mercedes,6.0,0 days 00:01:20.324000,0 days 00:00:28.230000,0 days 00:00:17.582000,0 days 00:00:34.512000,2.0,SOFT,6.0,1,Australian Grand Prix,FP3,2026,80.324,28.23,17.582,34.512,82.126,-1.8020000000000067,False
ANT,Mercedes,7.0,0 days 00:02:00.967000,0 days 00:00:36.259000,0 days 00:00:21.544000,0 days 00:01:03.164000,2.0,SOFT,7.0,1,Australian Grand Prix,FP3,2026,120.967,36.259,21.544,63.164,82.126,38.840999999999994,False
ANT,Mercedes,8.0,0 days 00:01:57.270000,0 days 00:01:01.347000,0 days 00:00:18.581000,0 days 00:00:37.342000,3.0,SOFT,8.0,1,Australian Grand Prix,FP3,2026,117.27,61.347,18.581,37.342,82.126,35.14399999999999,True
ANT,Mercedes,9.0,0 days 00:01:21.911000,0 days 00:00:28.533000,0 days 00:00:17.977000,0 days 00:00:35.401000,3.0,SOFT,9.0,1,Australian Grand Prix,FP3,2026,81.911,28.533,17.977,35.401,82.126,-0.2150000000000034,False
ANT,Mercedes,10.0,0 days 00:01:22.126000,0 days 00:00:28.691000,0 days 00:00:17.942000,0 days 00:00:35.493000,3.0,SOFT,10.0,1,Australian Grand Prix,FP3,2026,82.126,28.691,17.942,35.493,82.126,0.0,False
ANT,Mercedes,11.0,0 days 00:01:21.732000,0 days 00:00:28.657000,0 days 00:00:17.859000,0 days 00:00:35.216000,3.0,SOFT,11.0,12,Australian Grand Prix,FP3,2026,81.732,28.657,17.859,35.216,82.126,-0.39400000000000546,False
ANT,Mercedes,12.0,0 days 00:01:21.268000,0 days 00:00:28.396000,0 days 00:00:17.760000,0 days 00:00:35.112000,3.0,SOFT,12.0,21,Australian Grand Prix,FP3,2026,81.268,28.396,17.76,35.112,82.126,-0.8580000000000041,False
ANT,Mercedes,13.0,0 days 00:01:21.130000,0 days 00:00:28.302000,0 days 00:00:17.740000,0 days 00:00:35.088000,3.0,SOFT,13.0,1,Australian Grand Prix,FP3,2026,81.13,28.302,17.74,35.088,82.126,-0.9960000000000093,False
ANT,Mercedes,14.0,0 days 00:01:21.170000,0 days 00:00:28.497000,0 days 00:00:17.719000,0 days 00:00:34.954000,3.0,SOFT,14.0,1,Australian Grand Prix,FP3,2026,81.17,28.497,17.719,34.954,82.126,-0.9560000000000031,False
ANT,Mercedes,15.0,0 days 00:01:20.884000,0 days 00:00:28.377000,0 days 00:00:17.670000,0 days 00:00:34.837000,3.0,SOFT,15.0,1,Australian Grand Prix,FP3,2026,80.884,28.377,17.67,34.837,82.126,-1.2420000000000044,False
ANT,Mercedes,16.0,,0 days 00:00:31.403000,0 days 00:00:19.474000,,3.0,SOFT,16.0,1,Australian Grand Prix,FP3,2026,,31.403,19.474,,82.126,,False
ANT,Mercedes,17.0,0 days 00:01:38.493000,0 days 00:00:38.476000,0 days 00:00:20.137000,0 days 00:00:39.880000,4.0,SOFT,1.0,1,Australian Grand Prix,FP3,2026,98.493,38.476,20.137,39.88,82.126,16.36699999999999,True
ANT,Mercedes,18.0,,,,,4.0,SOFT,2.0,125,Australian Grand Prix,FP3,2026,,,,,82.126,,False
BEA,Haas F1 Team,1.0,0 days 00:01:47.437000,0 days 00:00:42.365000,0 days 00:00:20.124000,0 days 00:00:44.948000,1.0,MEDIUM,1.0,1,Australian Grand Prix,FP3,2026,107.437,42.365,20.124,44.948,107.437,0.0,True
BEA,Haas F1 Team,2.0,0 days 00:01:39.241000,0 days 00:00:34.857000,0 days 00:00:20.186000,0 days 00:00:44.198000,1.0,MEDIUM,2.0,12,Australian Grand Prix,FP3,2026,99.241,34.857,20.186,44.198,107.437,-8.195999999999998,False
BEA,Haas F1 Team,3.0,,0 days 00:00:29.612000,0 days 00:00:17.899000,,1.0,MEDIUM,3.0,2651,Australian Grand Prix,FP3,2026,,29.612,17.899,,107.437,,False
BEA,Haas F1 Team,4.0,0 days 00:02:08.735000,0 days 00:01:01.263000,0 days 00:00:21.193000,0 days 00:00:46.279000,2.0,MEDIUM,4.0,1,Australian Grand Prix,FP3,2026,128.735,61.263,21.193,46.279,107.437,21.298000000000016,True
BEA,Haas F1 Team,5.0,0 days 00:01:52.136000,0 days 00:00:37.244000,0 days 00:00:21.187000,0 days 00:00:53.705000,2.0,MEDIUM,5.0,1,Australian Grand Prix,FP3,2026,112.136,37.244,21.187,53.705,107.437,4.698999999999998,False
BEA,Haas F1 Team,6.0,0 days 00:01:21.530000,0 days 00:00:28.963000,0 days 00:00:17.614000,0 days 00:00:34.953000,2.0,MEDIUM,6.0,1,Australian Grand Prix,FP3,2026,81.53,28.963,17.614,34.953,107.437,-25.906999999999996,False
BEA,Haas F1 Team,7.0,0 days 00:02:07.359000,0 days 00:00:52.513000,0 days 00:00:26.668000,0 days 00:00:48.178000,2.0,MEDIUM,7.0,1,Australian Grand Prix,FP3,2026,127.359,52.513,26.668,48.178,107.437,19.921999999999997,False
BEA,Haas F1 Team,8.0,0 days 00:01:46.775000,0 days 00:00:40.908000,0 days 00:00:21.209000,0 days 00:00:44.658000,2.0,MEDIUM,8.0,1,Australian Grand Prix,FP3,2026,106.775,40.908,21.209,44.658,107.437,-0.6619999999999919,False
BEA,Haas F1 Team,9.0,0 days 00:01:21.129000,0 days 00:00:28.823000,0 days 00:00:17.608000,0 days 00:00:34.698000,2.0,MEDIUM,9.0,12,Australian Grand Prix,FP3,2026,81.129,28.823,17.608,34.698,107.437,-26.307999999999993,False
BEA,Haas F1 Team,10.0,0 days 00:02:26.220000,0 days 00:00:45.910000,0 days 00:00:30.043000,0 days 00:01:10.267000,2.0,MEDIUM,10.0,21,Australian Grand Prix,FP3,2026,146.22,45.91,30.043,70.267,107.437,38.783,False
BEA,Haas F1 Team,11.0,0 days 00:02:20.368000,0 days 00:01:07.031000,0 days 00:00:21.041000,0 days 00:00:52.296000,3.0,MEDIUM,11.0,1,Australian Grand Prix,FP3,2026,140.368,67.031,21.041,52.296,107.437,32.931,True
BEA,Haas F1 Team,12.0,0 days 00:01:44.313000,0 days 00:00:30.041000,0 days 00:00:20.752000,0 days 00:00:53.520000,3.0,MEDIUM,12.0,1,Australian Grand Prix,FP3,2026,104.313,30.041,20.752,53.52,107.437,-3.1239999999999952,False
BEA,Haas F1 Team,13.0,,0 days 00:00:56.320000,0 days 00:00:20.078000,,4.0,MEDIUM,13.0,1,Australian Grand Prix,FP3,2026,,56.32,20.078,,107.437,,True
BEA,Haas F1 Team,14.0,,0 days 00:00:43.480000,0 days 00:00:20.909000,,5.0,SOFT,2.0,125,Australian Grand Prix,FP3,2026,,43.48,20.909,,107.437,,True
BEA,Haas F1 Team,15.0,0 days 00:02:04.351000,0 days 00:01:03.562000,0 days 00:00:21.149000,0 days 00:00:39.640000,6.0,SOFT,2.0,1,Australian Grand Prix,FP3,2026,124.351,63.562,21.149,39.64,107.437,16.914,True
BEA,Haas F1 Team,16.0,0 days 00:01:20.778000,0 days 00:00:28.696000,0 days 00:00:17.567000,0 days 00:00:34.515000,6.0,SOFT,3.0,1,Australian Grand Prix,FP3,2026,80.778,28.696,17.567,34.515,107.437,-26.658999999999992,False
BEA,Haas F1 Team,17.0,,0 days 00:00:39.239000,0 days 00:00:22.692000,,6.0,SOFT,4.0,1,Australian Grand Prix,FP3,2026,,39.239,22.692,,107.437,,False
BEA,Haas F1 Team,18.0,,0 days 00:00:30.384000,0 days 00:00:18.445000,,6.0,SOFT,5.0,1,Australian Grand Prix,FP3,2026,,30.384,18.445,,107.437,,False
BOR,Audi,1.0,0 days 00:02:04.999000,0 days 00:01:02.469000,0 days 00:00:21.053000,0 days 00:00:41.477000,1.0,SOFT,1.0,1,Australian Grand Prix,FP3,2026,124.999,62.469,21.053,41.477,106.892,18.107,True
BOR,Audi,2.0,0 days 00:01:38.239000,0 days 00:00:32.291000,0 days 00:00:20.754000,0 days 00:00:45.194000,1.0,SOFT,2.0,1,Australian Grand Prix,FP3,2026,98.239,32.291,20.754,45.194,106.892,-8.652999999999992,False
BOR,Audi,3.0,0 days 00:01:22.287000,0 days 00:00:29.181000,0 days 00:00:17.806000,0 days 00:00:35.300000,1.0,SOFT,3.0,1,Australian Grand Prix,FP3,2026,82.287,29.181,17.806,35.3,106.892,-24.60499999999999,False
BOR,Audi,4.0,0 days 00:02:10.034000,0 days 00:00:49.105000,0 days 00:00:28.953000,0 days 00:00:51.976000,1.0,SOFT,4.0,12,Australian Grand Prix,FP3,2026,130.034,49.105,28.953,51.976,106.892,23.141999999999996,False
BOR,Audi,5.0,0 days 00:02:15.482000,0 days 00:00:28.806000,0 days 00:00:39.516000,0 days 00:01:07.160000,1.0,SOFT,5.0,26,Australian Grand Prix,FP3,2026,135.482,28.806,39.516,67.16,106.892,28.590000000000003,False
BOR,Audi,6.0,,0 days 00:00:33.890000,0 days 00:00:20.612000,,1.0,SOFT,6.0,6512,Australian Grand Prix,FP3,2026,,33.89,20.612,,106.892,,False
BOR,Audi,7.0,0 days 00:02:00.019000,0 days 00:00:57.364000,0 days 00:00:20.938000,0 days 00:00:41.717000,2.0,SOFT,7.0,1,Australian Grand Prix,FP3,2026,120.019,57.364,20.938,41.717,106.892,13.12700000000001,True
BOR,Audi,8.0,0 days 00:01:30.446000,0 days 00:00:31.192000,0 days 00:00:20.392000,0 days 00:00:38.862000,2.0,SOFT,8.0,1,Australian Grand Prix,FP3,2026,90.446,31.192,20.392,38.862,106.892,-16.445999999999998,False
BOR,Audi,9.0,0 days 00:01:35.592000,0 days 00:00:34.874000,0 days 00:00:20.480000,0 days 00:00:40.238000,2.0,SOFT,9.0,1,Australian Grand Prix,FP3,2026,95.592,34.874,20.48,40.238,106.892,-11.299999999999997,False
BOR,Audi,10.0,0 days 00:01:20.575000,0 days 00:00:28.531000,0 days 00:00:17.411000,0 days 00:00:34.633000,2.0,SOFT,10.0,1,Australian Grand Prix,FP3,2026,80.575,28.531,17.411,34.633,106.892,-26.316999999999993,False
BOR,Audi,11.0,0 days 00:02:07.469000,0 days 00:00:37.426000,0 days 00:00:31.772000,0 days 00:00:58.271000,2.0,SOFT,11.0,1,Australian Grand Prix,FP3,2026,127.469,37.426,31.772,58.271,106.892,20.576999999999998,False
BOR,Audi,12.0,,0 days 00:00:28.680000,0 days 00:00:17.716000,,2.0,SOFT,12.0,12,Australian Grand Prix,FP3,2026,,28.68,17.716,,106.892,,False
BOR,Audi,13.0,0 days 00:01:42.190000,0 days 00:00:39.183000,0 days 00:00:20.501000,0 days 00:00:42.506000,3.0,SOFT,1.0,12,Australian Grand Prix,FP3,2026,102.19,39.183,20.501,42.506,106.892,-4.701999999999998,True
BOR,Audi,14.0,,,,,3.0,SOFT,2.0,251,Australian Grand Prix,FP3,2026,,,,,106.892,,False
BOR,Audi,15.0,0 days 00:02:08.955000,0 days 00:01:09.333000,0 days 00:00:20.585000,0 days 00:00:39.037000,4.0,SOFT,3.0,1,Australian Grand Prix,FP3,2026,128.955,69.333,20.585,39.037,106.892,22.063000000000017,True
BOR,Audi,16.0,0 days 00:01:20.459000,0 days 00:00:28.420000,0 days 00:00:17.505000,0 days 00:00:34.534000,4.0,SOFT,4.0,1,Australian Grand Prix,FP3,2026,80.459,28.42,17.505,34.534,106.892,-26.432999999999993,False
BOR,Audi,17.0,0 days 00:01:51.594000,0 days 00:00:43.720000,0 days 00:00:21.031000,0 days 00:00:46.843000,4.0,SOFT,5.0,1,Australian Grand Prix,FP3,2026,111.594,43.72,21.031,46.843,106.892,4.701999999999998,False
BOR,Audi,18.0,,0 days 00:00:35.841000,0 days 00:00:21.282000,,4.0,SOFT,6.0,1,Australian Grand Prix,FP3,2026,,35.841,21.282,,106.892,,False
BOR,Audi,19.0,,0 days 00:00:35.910000,0 days 00:00:21.039000,,4.0,SOFT,7.0,1,Australian Grand Prix,FP3,2026,,35.91,21.039,,106.892,,False
BOT,Cadillac,1.0,0 days 00:02:14.017000,0 days 00:01:07.685000,0 days 00:00:21.286000,0 days 00:00:45.046000,1.0,SOFT,1.0,1,Australian Grand Prix,FP3,2026,134.017,67.685,21.286,45.046,120.31,13.706999999999994,True
